iter	Passed	Remaining
402	7793	11545
403	7814	11528
404	7835	11511
405	7855	11492
406	7877	11477
407	7896	11458
408	7918	11442
409	7943	11430
410	7962	11410
411	7989	11402
412	8009	11384
413	8040	11381
414	8065	11369
415	8093	11362
416	8127	11362
417	8157	11357
418	8178	11340
419	8195	11317
420	8213	11295
421	8232	11275
422	8246	11248
423	8336	11324
424	8418	11389
425	8553	11525
426	8605	11548
427	8638	11544
428	8651	11515
429	8668	11490
430	8683	11463
431	8693	11430
432	8706	11400
433	8754	11416
434	8816	11451
435	8852	11451
436	8888	11451
437	8955	11490
438	9012	11516
439	9050	11519
440	9077	11506
441	9106	11496
442	9124	11472
443	9139	11444
444	9153	11415
445	9166	11386
446	9179	11356
447	9192	11325
448	9203	11294
449	9215	11263
450	9228	11233
451	9241	11203
452	9251	11171
453	9263	11141
454	9275	11110
455	9287	11079
456	9298	11048
457	9311	11019
458	9324	10990
459	9335	10958
460	9346	10928
461	9358	10898
462	9370	10868
463	9382	10838
464	9394	10808
465	9406	10779
466	9418	10749
467	9431	10721
468	9443	10691
469	9455	10663
470	9467	10632
471	9478	10603
472	9491	10574
473	9502	10545
474	9512	10513
475	9524	10484
476	9536	10456
477	9548	10427
478	9558	10396
479	9570	10368
480	9585	10342
481	9596	10313
482	9608	10284
483	9620	10256
484	9633	10229
485	9644	10200
486	9656	10172
487	9668	10144
488	9681	10116
489	9692	10088
490	9704	10059
491	9717	10033
492	9726	10003
493	9738	9974
494	9749	9946
495	9761	9918
496	9771	9889
497	9783	9862
498	9795	9834
499	9805	9805
500	9820	9781
501	9835	9757
502	9850	9732
503	9864	9708
504	9879	9683
505	9893	9659
506	9907	9634
507	9920	9607
508	9936	9585
509	9951	9560
510	9964	9535
511	9982	9514
512	9993	9487
513	10007	9461
514	10018	9434
515	10030	9408
516	10042	9382
517	10057	9358
518	10071	9333
519	10084	9308
520	10097	9283
521	10111	9259
522	10125	9234
523	10139	9210
524	10154	9186
525	10166	9161
526	10180	9137
527	10194	9113
528	10210	9090
529	10224	9066
530	10239	9044
531	10254	9021
532	10269	8997
533	10283	8973
534	10297	8950
535	10309	8924
536	10323	8901
537	10338	8878
538	10350	8852
539	10367	8831
540	10381	8808
541	10394	8783
542	10407	8759
543	10424	8738
544	10438	8715
545	10453	8691
546	10466	8667
547	10480	8644
548	10497	8623
549	10512	8600
550	10526	8577
551	10541	8555
552	10554	8531
553	10568	8507
554	10583	8485
555	10598	8463
556	10617	8444
557	10640	8428
558	10662	8411
559	10681	8392
560	10702	8375
561	10726	8359
562	10750	8344
563	10776	8330
564	10792	8309
565	10808	8287
566	10821	8264
567	10833	8239
568	10844	8214
569	10856	8190
570	10867	8165
571	10877	8138
572	10886	8112
573	10896	8087
574	10907	8062
575	10919	8037
576	10930	8012
577	10939	7987
578	10952	7963
579	10961	7937
580	10973	7913
581	10984	7889
582	10994	7863
583	11006	7840
584	11018	7816
585	11031	7793
586	11042	7769
587	11055	7746
588	11068	7723
589	11081	7700
590	11093	7676
591	11104	7653
592	11117	7630
593	11131	7608
594	11146	7587
595	11156	7562
596	11166	7537
597	11176	7513
598	11187	7489
599	11198	7465
600	11210	7442
601	11221	7419
602	11234	7396
603	11246	7373
604	11259	7350
605	11270	7327
606	11282	7304
607	11294	7282
608	11308	7260
609	11319	7237
610	11331	7214
611	11344	7192
612	11359	7171
613	11370	7148
614	11382	7125
615	11394	7103
616	11408	7081
617	11419	7058
618	11433	7037
619	11447	7016
620	11461	6995
621	11474	6973
622	11488	6952
623	11502	6930
624	11514	6908
625	11527	6886
626	11541	6865
627	11553	6843
628	11565	6821
629	11577	6799
630	11591	6778
631	11603	6756
632	11615	6734
633	11628	6712
634	11641	6691
635	11654	6670
636	11665	6647
637	11676	6625
638	11688	6603
639	11701	6582
640	11712	6559
641	11724	6538
642	11737	6516
643	11749	6494
644	11758	6471
645	11768	6448
646	11776	6425
647	11789	6403
648	11801	6382
649	11815	6361
650	11827	6340
651	11838	6318
652	11852	6298
653	11866	6278
654	11884	6259
655	11905	6243
656	11928	6227
657	11952	6212
658	11970	6193
659	11986	6174
660	12003	6156
661	12017	6136
662	12032	6115
663	12046	6095
664	12062	6076
665	12078	6057
666	12094	6038
667	12110	6018
668	12128	6000
669	12144	5981
670	12158	5961
671	12174	5942
672	12187	5921
673	12199	5900
